위스키명,브랜드,면세_USD,면세_KRW,면세용량_ml,면세_₩100ml,데일리샷floor_KRW,데일리샷용량_ml,데일리샷_₩100ml,데일리샷셀러,데일리샷매칭명,보유DB_KRW,국내최저_KRW(min),국내최저출처,면세더쌈_병당,절감_병당_KRW,면세더쌈_100ml,절감_100ml_%,구매가능,상품URL
아드벡 언 오 1000ml,아드벡,65.6,99532,1000,9953,96000,700,13714,보틀즈 을지로,아드벡 언 오,,96000,데일리샷,N,-3532,Y,27.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5388184
사제락 라이 위스키 750ml,버팔로 트레이스,21.62,32803,750,4374,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5310162
뉴리프 바틀인본드 버번 750ml,뉴리프,64.6,98015,750,13069,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5916570
라프로익 레거시 에디션 700ml,라프로익,62.78,95253,700,13608,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/3612827
주라 IE 3 1000ml,주라,62.1,94221,1000,9422,35000,700,5000,주류상회Be 동탄호수공원점,주라 레드 와인 캐스크 에디션,,35000,데일리샷,N,-59221,N,-88.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5462592
짐빔 싱글 배럴  750ml,짐빔,20.21,30664,750,4089,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5303267
발베니 Stories Creation Classic 700ml,발베니,59.59,90413,700,12916,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5108415
글렌글라사 12yo 700ml,GLENGLASSAUGH,59.85,90808,700,12973,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5534638
글렌모레이 슈냉 블랑 700ml,글렌모레이,59.77,90686,700,12955,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5707056
더 글렌리벳 14년 1000ml,글렌리벳,80.75,122518,1000,12252,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5828031
웰러 스페셜 리저브 750ml,버팔로 트레이스,54.72,83024,750,11070,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5676433
우드포드 리저브 홀리데이 에디션 1L,우드포드 리저브,57.0,86483,1000,8648,,,,,,58000,58000,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5429234
우드포드 리저브 Kentucky Derby 적마 에디션 1000ml,우드포드 리저브,57.0,86483,1000,8648,,,,,,58000,58000,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070956
시바스리갈 13년 Rum Cask 1000ml,시바스리갈,27.26,41360,1000,4136,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5075762
웰러 스페셜 리저브 375ml,버팔로 트레이스,27.36,41512,375,11070,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5898263
TAMDHU Cuatro Reserva 700ml,탐두,53.35,80945,700,11564,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5865402
짐빔 놉크릭 700ml,짐빔,50.35,76394,700,10913,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5166851
시바스리갈 18년 200ml,시바스리갈,13.78,20908,200,10454,104900,700,14986,와인갤러리 시흥,시바스 리갈 18년 700ml,,104900,데일리샷,Y,83992,Y,30.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5075893
산토리 토키 블랙 1000ml,산토리,52.25,79276,1000,7928,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5746023
카이요 Japanese Mizunara Signature 700ml,카이요 위스키,54.05,82008,700,11715,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5437282
쿠라요시 레귤러 700ml,마츠이,50.76,77016,700,11002,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5157348
글렌피딕 XX 700ml,글렌피딕,48.76,73981,700,10569,99000,700,14143,블루하우스,글렌피딕 프로젝트 XX,,99000,데일리샷,Y,25019,Y,25.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5437409
탐나불린 SB 1000ml,탐나불린,50.4,76470,1000,7647,35600,700,5086,슈어와인낫,탐나불린 더블 캐스크,,35600,데일리샷,N,-40870,N,-50.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5462651
탐나불린 1000ml,탐나불린,50.4,76470,1000,7647,35600,700,5086,슈어와인낫,탐나불린 더블 캐스크,,35600,데일리샷,N,-40870,N,-50.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5166845
ABERLOUR SUTHAINN 700ml,발렌타인,49.5,75104,700,10729,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5663570
스카라버스 배치 스트랭스 700ml,스카라버스,24.7,37476,700,5354,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5304437
NEW 올트모어 12년 (올로로소 쉐리) 500ml,올트모어,49.4,74952,500,14990,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5560832
잭다니엘 골드 700ml,잭다니엘,48.51,73602,700,10515,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/3331541
발베니 12년 몬틸라 700ml,발베니,48.4,73435,700,10491,94000,700,13429,릭하우스,발베니 더블우드 12년,,94000,데일리샷,Y,20565,Y,21.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5798333
히노토리 골드오락(그랜다이저) 골드 위스키 700ml,히노토리,45.15,68504,700,9786,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5392958
발렌타인 10년 1000ml,발렌타인,22.88,34715,1000,3472,34800,700,4971,보틀벙커 잠실점,발렌타인 10년 700ml,25800,34800,데일리샷,Y,85,Y,30.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5269996
히노토리 골드오락(그랜다이저) 피트 위스키 700ml,히노토리,45.15,68504,700,9786,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5392882
캐나디언 클럽 12년 1000ml,캐나디언클럽,44.65,67745,1000,6774,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070544
카미키 사쿠라 500ml,카미키,42.84,64999,500,13000,120000,700,17143,알콜리크 주류할인점,카미키 사쿠라,,120000,데일리샷,Y,55001,Y,24.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5696485
잭다니엘 젠틀맨 잭 1000ml,잭다니엘,43.7,66304,1000,6630,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070934
글렌모레이 커티 샥 프라히비션 1000ml,글렌모레이,21.0,31862,1000,3186,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5312123
Scapa Skiren 700ml,글렌리벳,57.95,87925,700,12561,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5069998
폴 존 클래식 1000ml,폴 존,39.9,60538,1000,6054,115000,700,16429,40도 마곡,폴존 클래식 셀렉트 캐스크,,115000,데일리샷,Y,54462,Y,63.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5311851
오켄토션 블러드 오크 1000ml,오켄토션,40.66,61692,1000,6169,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5109734
토마틴 16년 700ml,토마틴,38.95,59097,700,8442,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5310222
발렌타인 FINEST 1000ml,발렌타인,13.0,19724,1000,1972,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5070257
와일드터키 켄터키 스피릿 1L,와일드터키,39.22,59507,1000,5951,94000,700,13429,더 위스키 (The Whisky),와일드 터키 켄터키 스피릿 싱글배럴,,94000,데일리샷,Y,34493,Y,55.7,Y,https://www.shilladfs.com/estore/kr/ko/p/5408280
보모어 11년 700ml,보모어,38.5,58414,700,8345,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5833044
컴파스 박스 Peat Monster 700ml,컴파스 박스,32.34,49068,700,7010,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5229030
Jerez Sherry Cask 1000ml,스페이번,35.28,53529,1000,5353,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5866023
짐빔 블랙 1000ml,짐빔,37.05,56214,1000,5621,38900,700,5557,와인갤러리 시흥,"[서울, 경기, 인천, 충북] 짐빔 블랙",,38900,데일리샷,N,-17314,N,-1.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5070542
메이커스마크 할리데이 에디션 1000ml,메이커스마크,36.4,55228,1000,5523,,,,,,49980,49980,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5809826
보모어 14년 700ml,보모어,34.0,51587,700,7370,101900,700,14557,바틀앤코르크 서초교대점,보모어 14년 보르도 캐스크 피니시,,101900,데일리샷,Y,50313,Y,49.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5524536
더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,더 아일라 보이즈,33.54,50889,700,7270,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5232740
브룩라디 THE LADDIE 8 700ml,브룩라디,32.16,48795,700,6971,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5100236
브룩라디 Sherry Cask_700ml,브룩라디,33.12,50251,700,7179,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5386814
버팔로 트레이스 이글레어 10년 버번 위스키 750ml,버팔로 트레이스,33.06,50160,750,6688,,,,,,38800,38800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5474380
잭다니엘 FOB Set 250ml,잭다니엘,32.3,49007,250,19603,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5657679
벤리악 Quarter Cask Classic 1000ml,벤리악,32.2,48856,1000,4886,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5303577
아녹 12년 700ml,아녹,31.24,47399,700,6771,73500,700,10500,BHC 연곡부영점,아녹 12년,,73500,데일리샷,Y,26101,Y,35.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5248782
짐빔 리젠트 버번 700ml,짐빔,30.1,45669,700,6524,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5264871
조니워커 블랙 트리플 캐스크 1000ml,조니워커,31.5,47793,1000,4779,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5082567
싱글톤 가든스 오브 어번던스 - 래디언트 스프링 가든 1000ml,싱글톤,31.28,47460,1000,4746,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5478854
엔젤스 엔비 플래그십 700ml,듀어스,30.87,46838,700,6691,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5791017
하이랜드 파크 BEAR 1000ml,하이랜드 파크,28.98,43970,1000,4397,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5145171
러셀 리저브 라이 6년 750ml,와일드터키,29.0,44000,750,5867,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5789382
더글라스랭 TIMOROUS BESTIE 10년 700ml,더글라스랭,28.14,42696,700,6099,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5228858
부쉬밀 오리지널 아이리쉬 위스키 1000ml,부쉬밀,13.5,20483,1000,2048,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5200751
시바스리갈 13년 Sherry Cask 1000ml,시바스리갈,27.84,42240,1000,4224,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5075894
헤븐스도어 Double Barrel Whiskey 750ml,헤븐스도어,26.4,40055,750,5341,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5284792
인드리 700ml,인드리,27.5,41724,700,5961,69000,700,9857,CU 영암우리점,인드리 싱글몰트 위스키,,69000,데일리샷,Y,27276,Y,39.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5360892
잭다니엘 젠틀맨 잭 200ml,잭다니엘,13.5,20483,200,10242,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5088301
오켄토션 아메리칸 오크 1000ml,오켄토션,25.37,38493,1000,3849,23900,700,3414,CU 남원여고정문점,오켄토션 아메리칸 오크,,23900,데일리샷,N,-14593,N,-12.8,Y,https://www.shilladfs.com/estore/kr/ko/p/5166856
잭다니엘 블랙 라벨 200ml,잭다니엘,11.4,17297,200,8648,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5657680
로크로몬드 8년 Madeira 1000ml,로크 로몬드,21.84,33137,1000,3314,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5267810
와일드터키101 라이 1000ml,와일드터키,20.7,31407,1000,3141,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5690489
잭다니엘 Black Label Tin 1000ml,잭다니엘,19.95,30269,1000,3027,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5303971
잭다니엘 블랙 맥라렌 에디션 1000ml,잭다니엘,20.58,31225,1000,3122,29900,700,4271,곤베,잭 다니엘스 맥라렌 에디션 2025,,29900,데일리샷,N,-1325,Y,26.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5334658
파이어볼 시나몬 위스키 1000ml,버팔로 트레이스,19.95,30269,1000,3027,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5302184
페이머스 그라우스 1000ml,발베니,13.75,20862,1000,2086,,,,,,19800,19800,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5957381
잭다니엘 테네시 허니 200ml,잭다니엘,11.4,17297,200,8648,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5088306
시바스리갈 12년 200ml,시바스리갈,10.45,15855,200,7928,49900,750,6653,위스키파크 안양인덕원점,시바스 리갈 12년 750ml,63900,49900,데일리샷,Y,34045,N,-19.2,Y,https://www.shilladfs.com/estore/kr/ko/p/5070401
짐빔 블랙 7년 1000ml,짐빔,37.05,56214,1000,5621,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5833135
네이키드 몰트 1000ml,발베니,24.75,37552,1000,3755,,,,,,67100,67100,보유DB,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5957380
페이머스 그라우스 쉐리 1000ml,발베니,15.4,23366,1000,2337,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5957379
더 글렌리벳 40년 700ml,글렌리벳,2860.0,4339344,700,619906,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5954010
퍼컬렌 18년 700ml,퍼컬렌,109.9,166746,700,23821,169000,700,24143,CU 남원여고정문점,퍼컬렌 18년 싱글몰트,,169000,데일리샷,Y,2254,Y,1.3,Y,https://www.shilladfs.com/estore/kr/ko/p/5304448
커티삭 센테너리 700ml,글렌모레이,1092.0,1656840,700,236691,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5304443
로얄살루트 55년 타임시리즈 700ml,로얄살루트,35525.0,53900414,700,7700059,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5948828
로얄살루트 52년 700ml,로얄살루트,21315.0,32340248,700,4620035,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5081235
로얄살루트 찰스 3세 대관식 에디션 700ml,로얄살루트,17762.5,26950207,700,3850030,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5948826
더 글렌리벳 트리플 캐스크 머추어드 1000ml,글렌리벳,61.75,93690,1000,9369,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5948829
벤리악 50년 1966 700ml,벤리악,20988.0,31844106,700,4549158,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5948006
발렌타인 40년 마스터 콜렉션 챕터 2 700ml,발렌타인,9236.5,14014108,700,2002015,23900000,700,3414286,로랜드 주류상회,발렌타인 40년,,23900000,데일리샷,Y,9885892,Y,41.4,Y,https://www.shilladfs.com/estore/kr/ko/p/5945875
발렌타인 17년 500ml,발렌타인,63.65,96573,500,19315,97500,750,13000,위스키오크통 일산점,발렌타인 17년 750ml,109000,97500,데일리샷,Y,927,N,-48.6,N,https://www.shilladfs.com/estore/kr/ko/p/5900539
Bordeaux Red Wine Cask 1000ml,스페이번,53.1,80566,1000,8057,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5866022
Kentucky Bourbon Cask 1000ml,스페이번,25.48,38660,1000,3866,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5866024
Balblair 12 Years Old 1000ml,발블레어,39.2,59476,1000,5948,85000,700,12143,블루하우스,발블레어 12년,,85000,데일리샷,Y,25524,Y,51.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5865410
시바스리갈 엑스트라 럼 캐스크 셀렉션 1000ml,시바스리갈,55.1,83601,1000,8360,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5897717
Old Pulteney 10 Years Old 1000ml,올드풀트니,56.05,85042,1000,8504,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5866021
발렌타인 25년 GLENBURGIE 700ml,발렌타인,279.3,423769,700,60538,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5885749
글렌모렌지 12년 어코드 1000ml,글렌모렌지,57.75,87621,1000,8762,79900,750,10653,더오크,글렌모렌지 라산타 12년 750ml,69800,69800,보유DB,N,-7721,Y,17.7,N,https://www.shilladfs.com/estore/kr/ko/p/5868420
아드벡 스모크트레일즈 배치3 1000ml,아드벡,71.25,108104,1000,10810,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5867964
아드벡 10년 1000ml,아드벡,54.0,81932,1000,8193,85000,700,12143,득이네 주류하우스,아드벡 10년,,85000,데일리샷,Y,3068,Y,32.5,N,https://www.shilladfs.com/estore/kr/ko/p/5070389
BLADNOCH 19YO 700ml,블라드녹,227.2,344720,700,49246,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5834297
몰트락 네버바운드 700ml,몰트락,114.0,172967,700,24710,240000,700,34286,마포 글로벌 마트,몰트락 네버바운드,,240000,데일리샷,Y,67033,Y,27.9,Y,https://www.shilladfs.com/estore/kr/ko/p/5845281
글렌모렌지 16년 트리뷰트 1000ml,글렌모렌지,74.25,112656,1000,11266,168000,1000,16800,가양상회,글렌모렌지 트리뷰트 16년 1L,,168000,데일리샷,Y,55344,Y,32.9,N,https://www.shilladfs.com/estore/kr/ko/p/5843623
글렌모렌지 14년 엘레멘타 1000ml,글렌모렌지,67.5,102415,1000,10242,109000,1000,10900,블루하우스,글렌모렌지 엘리멘타 14년 1L(구형),,109000,데일리샷,Y,6585,Y,6.0,N,https://www.shilladfs.com/estore/kr/ko/p/5843622
글렌모렌지 시그넷 700ml,글렌모렌지,178.2,270374,700,38625,289900,700,41414,드링크잇 마포,글렌모렌지 시그넷,,289900,데일리샷,Y,19526,Y,6.7,N,https://www.shilladfs.com/estore/kr/ko/p/5843621
발베니12년 골든캐스크 IGL 700ml,발베니,48.0,72828,700,10404,115000,700,16429,해밀덕천,발베니 12년 골든 캐스크,,115000,데일리샷,Y,42172,Y,36.7,N,https://www.shilladfs.com/estore/kr/ko/p/5815472
시바스리갈 엑스트라 셰리 캐스크 셀렉션 1000ml,시바스리갈,31.32,47520,1000,4752,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5828032
GF LIQU GF19 Aston Martin F1 700ml,글렌피딕,95.7,145201,700,20743,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5798745
GF LIQU GF18 Vat 4 IGL Festive 700ml,글렌피딕,94.25,143001,700,20429,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5798744
조니워커 레드 1L,조니워커,27.55,41800,1000,4180,21900,700,3129,느티나무 와인마트,조니워커 레드 700ml,,21900,데일리샷,N,-19900,N,-33.6,Y,https://www.shilladfs.com/estore/kr/ko/p/5817684
카미키 인텐스 500ml,카미키,67.2,101959,500,20392,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5696486
시그나토리 글렌알라키 2009 캐스크 스트렝스 15년 #900864 700ml,시그나토리 빈티지,214.7,325754,700,46536,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5788000
미야기쿄 싱글 몰트 그란데 700ml,닛카 위스키,104.5,158553,700,22650,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5804865
The Deacon 1L,발렌타인,27.93,42377,1000,4238,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5796123
"웰러SR, 버팔로트레이스 듀오팩 (375ml X 2)",버팔로 트레이스,41.44,62875,375,16767,39000,700,5571,슈어와인낫,버팔로 트레이스 700ml,38800,38800,보유DB,N,-23875,N,-201.0,Y,https://www.shilladfs.com/estore/kr/ko/p/5762840
엔젤스 엔비 스몰 700ml,듀어스,61.74,93675,700,13382,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5791018
로얄브라클라 24년 익셉셔널 캐스크 CS (올로로소) 700ml,로얄브라클라,629.3,954807,700,136401,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5791016
아드벡 코리브레칸 700ml,아드벡,83.25,126311,700,18044,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5786504
더 글렌그란트 30년 700ml,더 글렌그란트,1800.0,2731055,700,390151,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5783250
잭다니엘 본디드 라이 1000ml,잭다니엘,45.6,69187,1000,6919,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5712651
잭다니엘 본디드 1000ml,잭다니엘,45.6,69187,1000,6919,59900,700,8557,이마트24 신월스타점,잭 다니엘스 본디드,,59900,데일리샷,N,-9287,Y,19.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5712650
레드브레스트 12년 700ml,제임슨,60.8,92249,700,13178,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5769830
DALMORE LIQU Fettercairn 50YO 70cl,패터캐른,26235.0,39805133,700,5686448,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5219287
고든앤맥패일 프라이빗컬렉션 링크우드 1981 40년 700ml,고든 앤 맥패일,2009.15,3048389,700,435484,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5747995
고든앤맥패일 코노세어초이스 스트라스아일라 1985 38년 700ml,고든 앤 맥패일,1943.15,2948250,700,421179,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5747994
고든앤맥패일 프라이빗컬렉션 스페이번 1977 44년 700ml,고든 앤 맥패일,2773.65,4208329,700,601190,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5747993
고든앤맥패일 코노세어초이스 글렌로지 1988 32년 700ml,고든 앤 맥패일,1434.4,2176348,700,310907,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5747992
고든앤맥패일 코노세어초이스 하이랜드파크 1987 35년 700ml,고든 앤 맥패일,1437.15,2180520,700,311503,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5747991
벤리악 40년 700ml,벤리악,3038.0,4609415,700,658488,7500000,700,1071429,바틀리어 마포점,벤리악 40년,,7500000,데일리샷,Y,2890585,Y,38.5,Y,https://www.shilladfs.com/estore/kr/ko/p/5757662
GF LIQU Glenfiddich 50 Time Series 700ml,글렌피딕,37097.5,56286294,700,8040899,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5188730
GF LIQU Glenfiddich 40 700ml,글렌피딕,2907.58,4411535,700,630219,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5757402
BALVENIE LIQU Balvenie 40 Y3 700ml,발베니,7054.6,10703613,700,1529088,11900000,700,1700000,로랜드 주류상회,발베니 40년 레어 메리지,,11900000,데일리샷,Y,1196387,Y,10.1,Y,https://www.shilladfs.com/estore/kr/ko/p/5753467
윌더니스 트레일 켄터키 스트레이트 하이 라이 버번 750ml,WILDERNESS TRAIL,24.2,36718,750,4896,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5690486
윌더니스 트레일 켄터키 스트레이트 휘티드 버번 750ml,WILDERNESS TRAIL,22.0,33380,750,4451,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5690487
윌더니스 트레일 켄터키 스트레이트 라이 750ml,WILDERNESS TRAIL,47.5,72070,750,9609,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5690488
고든앤맥패일 코노세어초이스 토민타울 2001 22년 700ml,고든 앤 맥패일,349.6,530432,700,75776,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5724903
고든앤맥패일 코노세어초이스 스트라스밀 2008 14년 700ml,고든 앤 맥패일,226.1,343051,700,49007,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5724902
고든앤맥패일 코노세어초이스 글렌버기 1995 27년 700ml,고든 앤 맥패일,553.85,840331,700,120047,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5724907
로얄살루트 62년 건 살루트 컬렉선 더 오리지널 리저브 700ml,로얄살루트,2106.3,3195790,700,456541,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5739769
로얄살루트 62년 건 살루트 컬렉션 더 피티드 리저브 700ml,로얄살루트,2340.8,3551586,700,507369,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5739770
GF LIQU Glenfiddich 39 1985 Cask 700ml,글렌피딕,3465.0,5257282,700,751040,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5717430
The Lakes Equinox 700ml,더 레이크,112.1,170084,700,24298,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5690687
The Lakes Kairos 700ml,더 레이크,49.5,75104,700,10729,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5690686
The Lakes Resfeber 700ml,더 레이크,49.5,75104,700,10729,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5690684
The Lakes Reserve No.7 700ml,더 레이크,107.35,162877,700,23268,,,,,,,,,N,,N,,N,https://www.shilladfs.com/estore/kr/ko/p/5690685
The Lakes Reserve No.6 700ml,더 레이크,107.35,162877,700,23268,,,,,,,,,N,,N,,Y,https://www.shilladfs.com/estore/kr/ko/p/5690683
아드벡 우거다일 700ml,아드벡,68.25,103553,700,14793,134000,700,19143,위스키오크통 일산점,아드벡 우거다일,,134000,데일리샷,Y,30447,Y,22.7,N,https://www.shilladfs.com/estore/kr/ko/p/5713333
