위스키명,증류소,지역,도수,캐스크,맛_노트,스토리,출처,수집일
퍼컬렌 15년 700ml,"파워스코트 증류소 (Powerscourt Distillery, Fercullen)",아일랜드 위클로,41.5%,퍼스트필 엑스버번 배럴 15년 숙성 후 일부 세컨드필 마데이라 캐스크 피니시 (논칠필터·자연색),"바닐라·퍼지·꿀에 잰 아몬드·말린 살구·망고의 향, 버터팝콘·오렌지/라임 마멀레이드·드라이한 오크 스파이스의 맛, 크리미한 바닐라 퍼지와 설탕에 절인 오렌지·라임 껍질의 피니시.",아일랜드 위클로 파워스코트 증류소의 'Fercullen 15'. ⚠️ 증류소 공식 표기상 이 15년은 싱글몰트가 아니라 옥수수+맥아 매시의 '싱글 그레인(Single Grain)' 위스키이니 라벨 확인 권장.,Powerscourt Distillery 공식 · Celtic Whiskey Shop · Amongst the Whiskey (2026-06-10 리서치),2026-06-10
토마틴 16년 700ml,토마틴 (Tomatin),스코틀랜드 하이랜드,46%,버번/셰리 오크 숙성 후 포르투갈 모스카텔 와인 바리크 추가 숙성 (천연색·논칠필터),"오렌지 마멀레이드·햇볕에 말린 과일·다크 초콜릿에 신선한 생강 힌트, 길고 왁스 같은 피니시.",2022년 출시된 면세(travel retail) 전용 에디션으로 모스카텔 와인 캐스크 숙성이 핵심 캐릭터를 만든다. 명칭에 에디션 표기가 없어 면세 전용 16년으로 확정.,Tomatin 공식 · Whisky Magazine (2026-06-10 리서치),2026-06-10
짐빔 싱글 배럴  750ml,"짐빔 (Jim Beam, Beam Suntory)",미국 켄터키,"47.5% (95proof 스탠더드 — 108proof/54% 변형 존재, 배치별 상이)","옥수수 77%·라이 13%·맥아보리 10% 매시빌, 새 차링 오크 단일 배럴 숙성(상위 1% 배럴 선별)","풍부한 바닐라의 코, 입안은 오크·캐러멜의 균형에 꿀·바닐라·오렌지·사과 단맛, 감초·정향·구운 오크의 노트.",짐빔 싱글 배럴은 단일 배럴별 고유 풍미를 살린 표현으로 마스터 디스틸러가 직접 선별한다. 스탠더드는 95프루프(47.5%)이며 2019년 출시된 108프루프 버전이 별도 존재해 병별 도수가 다를 수 있다.,Jim Beam 공식 · The Whiskey Shelf · Distiller (2026-06-10 리서치),2026-06-10
맥탈라 테라 700ml,"맥탈라 (Mac-Talla, Morrison Scotch Whisky Distillers)",스코틀랜드 아일라,46%,아메리칸 오크 숙성 (천연색·논칠필터),"시트러스·스모키한 보리·신선한 바닷바람의 코, 입안은 깨끗한 우드스모크와 짭짤한 바다 향, 산뜻하고 깔끔한 스모키 피니시.",Mac-Talla(게일어 '메아리')는 모리슨 디스틸러스의 아일라 싱글몰트 시리즈로 Terra는 클래식 아일라 피티드 표현이다. IWSC 실버 메달 수상.,The Whisky Exchange · Top Whiskies (2026-06-10 리서치),2026-06-10
골드바 위스키 1000ml,"골드바 (Gold Bar, Treasure Island Distillery)",미국 캘리포니아,40% (1L 기준·표현별 45% 등 상이),미국 전역 소싱 블렌디드 아메리칸 위스키를 캘리포니아 와인 배럴에서 피니시,"붉은 과일·사과·꿀의 밝은 코에 바닐라·베이킹 스파이스·토스트 오크 힌트, 입안은 부드럽게 캐러멜·다크 프루트·약간의 후추로 마무리.",금괴(gold bar) 모양 병에 수집용 코인이 박힌 디자인으로 유명한 프리미엄 블렌디드 아메리칸 위스키. 2016 샌프란시스코 월드 스피릿 더블 골드 수상.,Gold Bar 공식 · The Whiskey Wash · Vault of Spirits (2026-06-10 리서치),2026-06-10
윌더니스 트레일 켄터키 스트레이트 하이 라이 버번 750ml,윌더니스 트레일 (Wilderness Trail Distillery),미국 켄터키,50% (100proof),"옥수수 64%·라이 24%·맥아보리 12% 하이라이 매시빌, #4 차 레벨 오크 배럴에 110프루프 입통·최소 4년 숙성(논칠필터)","달콤한 베이킹 스파이스·오크·다크 프루트의 코, 부드럽고 달콤한 입안에 오크·담배·붉고 검은 베리·가죽·스모크 힌트, 길고 라이 주도의 오크 단맛 피니시.",과학자 출신 부부가 설립한 윌더니스 트레일은 자체 효모 균주와 sweet mash 공법으로 알려진 켄터키 증류소. 라이 함량을 높인 하이라이 버번.,Breaking Bourbon · The Whiskey Jug · Spirits Network (2026-06-10 리서치),2026-06-10
와일드터키101 라이 1000ml,와일드터키 (Wild Turkey),미국 켄터키,50.5% (101proof),"라이 중심 매시빌(약 라이 51~52%·옥수수 36~37%·맥아보리 12%), 가장 깊게 그을린 아메리칸 화이트 오크 새 배럴 숙성","꿀·캐러멜의 단 코에 정향·후추 스파이스·바닐라·다크 프루트·시트러스, 입안은 캐러멜·꿀에 민트·감초·시트러스, 길고 달콤하며 스파이시한 우디 피니시.",와일드 터키 101의 라이 버전으로 켄터키 스트레이트 라이 위스키다. 101프루프 라인의 일원으로 스파이시한 라이 캐릭터가 특징.,Wild Turkey 공식 · The Whiskey Jug · Amongst the Whiskey (2026-06-10 리서치),2026-06-10
발베니 25년 Rare Marrige 700ml,발베니 (The Balvenie),스코틀랜드 스페이사이드,48%,David Stewart가 손수 고른 소수의 캐스크를 매링(marrying) — 다수의 아메리칸 오크 리필 버번 배럴 + 소량의 유러피언 오크 올로로소 셰리 캐스크를 전통 오크 매링 턴에서 수개월 결합,"발베니 특유의 꿀·맥아의 둥근 코에 브라운슈거·캐러멜·비스킷, 살구·모과젤리·캔디드 오렌지필. 입안은 잘 익은 복숭아·오렌지의 단 과일 코어에 시나몬·캔디드 진저의 오크 스파이스, 버번 우드 중심의 신선하고 균형 잡힌 마무리.",발베니의 'Rare Marriages' 레인지 25년. 몰트 마스터 David Stewart가 25년 이상 숙성된 희소 캐스크를 소량씩 골라 매링 턴에서 결합해 병입한다. (상품명 'Marrige'는 신라면세 표기 오타 — 정식 명칭은 Rare Marriage),The Balvenie 공식 · WhiskyNotes · The Whisky Exchange (2026-06-10 리서치),2026-06-10
시그나토리 글렌기어리 2011 12년 스몰배치 #14 700ml,글렌 기어리 (Glen Garioch) · 병입 시그나토리 빈티지(Signatory Vintage),스코틀랜드 하이랜드(애버딘셔),48.2% (스몰배치 #14 기준 — 인디 스몰배치라 배치별 상이),"퍼스트필 버번 배럴(2011 증류·2024 병입), 무착색·논칠필터 (스몰배치 #14 기준 — 배치별 캐스크 상이)",밝고 생기있는 크리미 바닐라·코코넛·달콤한 과수원 과일에 꿀맥아·베이킹 스파이스 힌트. (인디 스몰배치라 배치별 풍미 차이 있음 — #14 기준),독립병입자 시그나토리 빈티지의 Small Batch Edition #14. 글렌 기어리 증류소 2011년 원액을 12년 숙성해 2024년 병입. 인디 스몰배치는 도수·캐스크가 배치별로 다르므로 #14 기준값임.,Signatory Vintage · The Whisky Exchange · Master of Malt (2026-06-10 리서치),2026-06-10
니카 더 세션 700ml,니카 (Nikka) — 요이치·미야기쿄 + 벤 네비스(Ben Nevis) 몰트 블렌드,일본(월드 블렌디드 몰트),43%,NAS 월드 블렌디드 몰트 — 니카 소유의 일본 요이치·미야기쿄 몰트에 스코틀랜드 벤 네비스 몰트를 결합,"가볍고 밝은 풋사과·마시멜로·바닐라의 코에 약한 민트와 몰트, 입안은 따뜻한 바닐라·부드러운 오크·라즈베리, 가볍고 깔끔한 질감. 살짝 짠맛과 옅은 피트가 풋사과 여운으로 마무리.","니카가 2021년 선보인 월드 블렌디드 몰트. 일본(요이치·미야기쿄)과 스코틀랜드(벤 네비스, 니카 소유) 몰트를 섞어 편하게 마시는 'session' 콘셉트로 만든 데일리 드램.",Nikka 공식 · The Whisky Study · Whiskybase (2026-06-10 리서치),2026-06-10
수퍼 니카 700ml,니카 (Nikka) — 요이치·미야기쿄 몰트+그레인 블렌드,일본,43%,"몰트(요이치·미야기쿄)와 그레인을 결합한 블렌디드 위스키, 옅은 피트와 셰리·바닐라 캐릭터","리치한 허니콤·아로마틱 스파이스·버터향 프렌치토스트·초콜릿·오렌지의 코에 옅은 스모크·가죽·토피, 입안은 달고 스파이시하며 스모키한 요이치 몰트가 드러나고 올드 셰리·오크·진저·정향·말린 과일·시리얼 단맛으로 균형.",1962년 탄생한 니카의 클래식 블렌드. 창업자 타케츠루 마사타카가 스코틀랜드인 아내 리타를 여읜 직후 그녀에 대한 깊은 사랑을 담아 헌정한 '액체 러브레터'로 불린다.,Nikka 공식 · Whisky Magazine · finedrams.com (2026-06-10 리서치),2026-06-10
브룩라디 THE LADDIE 8 700ml,브룩라디 (Bruichladdich),스코틀랜드 아일라(언피티드),50%,"8년 숙성, 언피티드. 아메리칸 오크 + 유러피언 오크 캐스크, 논칠필터·무착색(E150a 무첨가). 트래블 리테일용으로 헤드 디스틸러 Adam Hannett가 만듦",덜 익은 사과·배·페어드롭·살구·파인애플 시럽의 신선한 과일 코에 고스·허니서클의 플로럴. 입안은 보리당·따뜻한 스파이스가 망고·복숭아의 단맛으로 풀리며 바닐라·레몬·꿀·토피의 크리미한 질감. 짧고 따뜻한 베리 신맛 여운.,브룩라디 'The Laddie' 라인의 8년 숙성판. 스모키한 아일라 이미지와 달리 언피티드로 아일라의 플로럴·해안 캐릭터를 보여주는 클래식 라디의 형제격.,Bruichladdich 공식 · Master of Malt · Whiskybase (2026-06-10 리서치),2026-06-10
보모어 14년 700ml,보모어 (Bowmore),아일라 (Islay),43%,엑스-버번 캐스크 숙성 후 보르도 레드와인 캐스크(바리크) 피니시 · GTR 면세 전용(Appellations),"베리·붉은과일 단맛에 보모어 특유의 아일라 피트 스모크. 다크베리·자두에 캠프파이어 훈연과 차콜 오크, 요거트 프루트껌 같은 새콤달콤함.",Appellations는 2024년 마스터 블렌더 캘럼 프레이저가 선보인 글로벌 면세(GTR) 전용 와인캐스크 피니시 컬렉션. 14년은 보르도 바리크 피니시 표현이다. 보모어는 1779년 설립된 아일라 最古 증류소.,공식 bowmore.com · Moodie Davitt Report · Whisky Advocate (2026-06-12 리서치),2026-06-12
보모어 16년 700ml,보모어 (Bowmore),아일라 (Islay),43%,엑스-버번 숙성 후 루비 포트(도루 밸리) 캐스크 피니시 · GTR 면세 전용(Appellations),루비 포트가 더한 잘 익은 베리·건자두·다크초콜릿 단맛에 보모어의 아일라 피트 스모크와 짭조름한 해풍.,Appellations 컬렉션의 16년 표현으로 포르투갈 도루 밸리 루비 포트 캐스크 피니시. 보모어는 1779년 설립된 아일라 最古 증류소.,공식 bowmore.com · Moodie Davitt Report · Whisky Advocate (2026-06-12 리서치),2026-06-12
보모어 19년 700ml,보모어 (Bowmore),아일라 (Islay),43%,엑스-버번 숙성 후 피노누아(부르고뉴) 캐스크 피니시 · GTR 면세 전용(Appellations),"피노누아의 우아한 붉은베리·체리에 보모어의 부드러운 피트 스모크, 트로피컬 프루트의 긴 여운.",Appellations 컬렉션의 19년 표현으로 부르고뉴 피노누아 캐스크 피니시. 보모어는 1779년 설립된 아일라 最古 증류소.,공식 bowmore.com · Moodie Davitt Report · Whisky Advocate (2026-06-12 리서치),2026-06-12
보모어 22년 700ml,보모어 (Bowmore),아일라 (Islay),48%,엑스-버번 숙성 후 소테른(귀부 스위트와인) 캐스크 피니시 · GTR 면세 전용(Appellations),"소테른의 꿀·살구·열대과일 단맛에 보모어 22년의 깊은 오크·은은한 피트 스모크, 풍부하고 긴 피니시.",Appellations 컬렉션 최상위 22년은 프랑스 소테른 스위트와인 캐스크 피니시로 48% 병입. 보모어는 1779년 설립된 아일라 最古 증류소.,공식 bowmore.com · Moodie Davitt Report · Whisky Advocate (2026-06-12 리서치),2026-06-12
로얄브라클라 12년 1000ml,로얄브라클라 (Royal Brackla),하이랜드,46%,버번 캐스크 숙성 후 올로로소 셰리 캐스크 피니시 · 논칠필터,"토피·무화과·프루트케이크 향에 육두구·계피·호두. 입안엔 잘 익은 복숭아·블랙체리·초콜릿·아몬드, 무스코바도 설탕의 따뜻한 단맛 피니시.","1812년 설립, 1835년 윌리엄 4세에게 'The King's Own Whisky' 칭호를 받은 첫 증류소. 현재 듀어스(바카디) 소유. 12년은 올로로소 셰리 피니시 코어레인지.",공식 royalbrackla.com · Master of Malt · The Whiskey Wash (2026-06-12 리서치),2026-06-12
로얄브라클라 18년 700ml,로얄브라클라 (Royal Brackla),하이랜드,46%,팔로 코르타도 셰리 캐스크 피니시 · 논칠필터,"파인애플·구아바·꿀 시리얼·라이트 시트러스 향. 부드럽고 크리미한 입안에 바닐라·캔디드 프루트·밀크 초콜릿·아니스·카시아. 데메라라 슈거에서 루바브·구스베리 타르트와 스파이스의 상큼한 피니시.","1812년 설립, 윌리엄 4세로부터 최초의 'Royal' 칭호를 받은 하이랜드 증류소. 18년은 팔로 코르타도 셰리 캐스크로 피니시해 트로피컬·꿀·크리미한 풍미를 더한 코어레인지 표현. 무착색·논칠필터.",Whisky Advocate · The Whiskey Wash · Whisky Magazine (2026-07-20 리서치),2026-07-20
버팔로 트레이스 버번 위스키 1000ml,버팔로 트레이스 (Buffalo Trace),미국 켄터키,40%,"새 화입 아메리칸 오크 배럴 · 매시빌 #1(저-라이, 라이 10%↓)","카라멜·바닐라·꿀에 오렌지 제스트, 깊게는 가죽·오크·살구 향. 입안은 카라멜·흑설탕·바닐라에 여름 과일, 끝에 옅은 스파이스.",켄터키 프랭크포트의 미국 最古 연속가동 증류소(버팔로 트레이스 디스틸러리) 플래그십 버번. 매시빌 #1(저라이)로 만든 가성비 켄터키 스트레이트 버번의 기준.,공식 buffalotracedistillery.com · Breaking Bourbon (2026-06-12 리서치),2026-06-12
페넬로페 하바나 750ml,페넬로페 버번 (Penelope Bourbon · Cooper Series),미국(인디애나 MGP 소싱),46.5% (93 proof),4-그레인 스트레이트 버번 · 카리브해 럼 캐스크 12개월 + 메이플시럽 배럴 1개월 더블 피니시,"당밀·바나나브레드·진한 메이플 향. 카라멜콘·차드 오크·캔디드 피칸에 바닐라·흑설탕·시럽, 옅은 담배·스파이스의 여운.",페넬로페 버번 쿠퍼 시리즈 하바나. 4-그레인 스트레이트 버번을 카리브해 럼 캐스크와 메이플시럽 배럴에 이중 피니시해 럼의 트로피컬 단맛과 메이플을 입혔다.,공식 penelopebourbon.com · Breaking Bourbon · Bourbon Guy (2026-06-12 리서치),2026-06-12
글렌알라키 15년 (24RB) 700ml,글렌알라키 (GlenAllachie),스페이사이드,46% (논칠필터·무착색),페드로 히메네스(PX) 셰리·올로로소 셰리·버진 오크 캐스크 숙성 (2024 리배치 24RB),다크체리·골든시럽·달큰한 스파이스·토피·글레이즈드 무화과·헤이즐넛 향. 히더 꿀·오렌지필·코코아·생강에 카라멜라이즈드 흑설탕의 피니시. 진한 마호가니 빛에 시나몬·바닐라 토피·다크초콜릿이 겹겹이.,"글렌알라키는 1967년 설립된 스페이사이드 증류소로, 2017년 빌리 워커(전 벤리악·글렌드로낙) 팀이 인수해 셰리 캐스크 중심으로 재편했다. 코어 15년은 PX·올로로소 셰리와 버진 오크에서 숙성해 46%·논칠필터·무착색으로 병입하는 셰리 가성비 대표 표현. (24RB = 2024 리배치)",공식 theglenallachie.com · The Whisky Exchange · Words of Whisky (2026-06-12 리서치),2026-06-12
쿠라 8년 아와모리 700ml,헬리오스 (Helios Distillery) · 오키나와,일본 오키나와,40% (Kura 라인 표준 · '8년 아와모리' 단독 도수표기 미확인),아메리칸 화이트 오크 숙성 후 캐스크 피니시(Kura 라인은 자가 럼/아와모리 캐스크 피니시) · 8년 표기,"(Kura 퓨어몰트 라인 기준 — '8년 아와모리' 에디션 단독 노트는 소매 문서 미확인) 토스티드 오크에 풋사과·향신료 망고 처트니 향, 탱글한 오렌지·레몬과 멘톨·옅은 스모크, 흑설탕·졸인 배·정향의 피니시.","헬리오스는 오키나와에서 럼과 아와모리(쌀 증류주)로 유명한 증류소로, 홋카이도 피트 몰트와 오키나와 몰트를 아메리칸 오크에서 숙성한 뒤 자가 럼/아와모리 캐스크에 피니시하는 'Kura' 퓨어몰트를 낸다. 아열대 기후의 빠른 숙성이 본토 위스키와 다른 개성을 준다. (8년·아와모리 캐스크 특정 에디션의 세부 노트·도수는 미확인 — Kura 라인 기준 기술)",Master of Malt · Nomunication · The Japanese Bar (2026-06-12 리서치) — 8년 아와모리 단독 출처 미확보,2026-06-12
큐로 몰트 500ml,큐로 (Kyrö Distillery) · 핀란드,핀란드,47.2% (논칠필터·무착색),100% 맥아 호밀(몰트 라이) · 더블 팟 증류 · 새 아메리칸 화이트 오크 최소 3년,"바닐라·카라멜·흙내음 호밀 향에 달콤한 오렌지·밀크초콜릿·구운 씨앗빵. 호밀빵·꿀·야생베리·블루베리의 단맛, 흑후추·모카·토피의 복합적인 스파이시 피니시.",큐로는 2014년 핀란드 이소퀴뢰에서 시작한 증류소로 100% 핀란드산 맥아 호밀(통곡물)만으로 만드는 라이 위스키가 시그니처. IWSC 2020 금메달(98점). 새 아메리칸 화이트 오크 숙성으로 강건한 호밀 향신료와 단맛을 낸다.,공식 kyrodistillery.com · WhiskyRant · A Scot on Scotch (2026-06-12 리서치),2026-06-12
쿠라요시 12년 몰트 700ml,마츠이 주조 (Matsui Shuzo) · 쿠라요시 증류소,일본 돗토리현,43%,화이트 오크 12년 숙성 · 퓨어몰트(블렌디드 몰트),"다크프루트·키위·배·아몬드 쿠키·카라멜·꿀에 옅은 피트·스모크·미네랄 향. 너티 카라멜·바닐라에 날카로운 후추, 흙내·허브·미네랄과 가벼운 과일. 라임·생강·옅은 스모크의 중간 피니시.","마츠이 주조(1910년 설립)는 돗토리현 쿠라요시 증류소에서 위스키를 만든다. 'The Kurayoshi 12년'은 스코틀랜드산 몰트를 일본으로 들여와 일본 몰트와 블렌딩, 돗토리 연수로 가수해 12년 숙성한 퓨어몰트. 8·12·18년 라인의 중심.",Whiskey Apostle · Master of Malt · 공식 matsuiwhisky.com (2026-06-12 리서치),2026-06-12
쿠라요시 12년 셰리 700ml,마츠이 주조 (Matsui Shuzo) · 쿠라요시 증류소,일본 돗토리현,43% (병 표기 기준),오크 12년 숙성 후 셰리 캐스크 마무리 · 공식 분류상 '블렌디드 위스키'(The Kurayoshi Sherry Cask 12 Years),"베리·초콜릿의 달콤한 향에 레몬그라스풍 시트러스 산미. 건포도·꿀빵·말린 자두의 단맛, 졸인 배·블루베리·황설탕의 피니시. (12년 장기 숙성으로 NAS 셰리보다 오크·셰리감이 깊음)","마츠이 주조가 쿠라요시 셰리 라인에 12년 숙성을 더한 표현으로, 공식 라인업상 'The Kurayoshi Sherry Cask 12 Years'(블렌디드 위스키)로 분류된다. 오크 숙성 후 셰리 캐스크 마무리로 베리·초콜릿 단맛을 낸다.",공식 matsuiwhisky.com · Mike's Wine & Spirits · ImpEx Beverages (2026-06-12 리서치),2026-06-12
쿠라요시 셰리 700ml,마츠이 주조 (Matsui Shuzo) · 쿠라요시 증류소,일본 돗토리현,43% (병 표기 기준 · 일부 배치 46%),오크 3년 이상 숙성 후 셰리 캐스크 마무리 · 퓨어몰트(NAS) · 논칠필터,"베리·다크초콜릿·레몬그라스의 향에 시트러스 제스트·들풀, 셰리·풋딸기의 중반. 말린 자두·꿀·옅은 스파이스, 배·시트러스·가벼운 드라이의 미디엄 피니시.","'The Kurayoshi Sherry Cask'는 마츠이 주조의 NAS 셰리 캐스크 퓨어몰트. 스코틀랜드산 몰트를 일본 몰트와 블렌딩, 오크 3년+ 후 셰리 캐스크에 마무리해 베리·초콜릿 단맛을 입힌 가성비 셰리 표현. (도수는 배치에 따라 43%/46% 병 표기)",Master of Malt · Rasch Vin · Distiller · Whiskybase (2026-06-12 리서치),2026-06-12
쿠라요시 레귤러 700ml,마츠이 주조 (Matsui Shuzo) · 쿠라요시 증류소,일본 돗토리현,43%,"화이트 오크 3년 이상 숙성 · 퓨어몰트(NAS, 코어 표현)","갓 구운 빵·건포도·따뜻한 몰트의 향. 가볍고 부드러운 입안에 아몬드·바닐라·오크의 단맛, 깔끔하고 차분한 피니시.","'The Kurayoshi' 코어 퓨어몰트(NAS)는 스코틀랜드산 몰트를 일본 몰트와 블렌딩, 돗토리현 화산암 여과 연수로 가수해 화이트 오크에 숙성한 마츠이 주조의 기본 표현. 8·12·18년과 셰리·와인 캐스크 라인의 출발점.",Master of Malt · Whiskybase · Life of Andra (2026-06-12 리서치),2026-06-12
마츠이 피트 700ml,마츠이 주조 (Matsui Shuzo) · 쿠라요시 증류소,일본 돗토리현,48%,팟 증류 피티드 싱글몰트 · 화이트 오크 버번 캐스크 숙성,"토스티한 맥아 시리얼 향에 흙내 피트·스모크·바닐라 오크. 토스티 오크·황설탕·크리미 바닐라·과수원 과일에 재 같은 스모크가 감싸고, 피트 스모크·풋사과가 남는 피니시.","'The Matsui Peated'는 쿠라요시 증류소가 다이센산 자락 연수로 만드는 피티드 싱글몰트. 버번 캐스크 숙성 후 48%로 병입하며, 호쿠사이의 '가나가와 거대한 파도'를 라벨에 담아 위스키의 기세를 표현했다.",Master of Malt · Caskers · The Campfire Dram (2026-06-12 리서치),2026-06-12
위도우 제인 AMERICAN RYE 750ml,위도우 제인 (Widow Jane Distillery) · 미국 뉴욕 브루클린,미국 뉴욕,45.5% (91 proof),라이+소량 보리 매시 · 7년 버번 배럴 후 아메리칸 오크(+애플우드) 스테이브 추가 · 논칠필터 · 로젠데일 석회암 광천수 가수,"클로버 꿀·오렌지필에 옅은 꽃·풀내 향. 황설탕·백후추·카라멜·베이킹 스파이스에 가벼운 트로피컬 뉘앙스, 부드럽고 살짝 달큰한 스파이스·오크의 피니시.","위도우 제인은 브루클린 레드훅의 크래프트 증류소로, 뉴욕 로젠데일 광산 석회암 광천수로 가수하는 것으로 유명. American Oak Aged Rye는 라이 매시 원액을 버번 배럴에서 숙성 후 신선한 오크·애플우드 스테이브를 더해 향을 입힌다.",Whisky Monster · Boozedancing · Caskers (2026-06-12 리서치),2026-06-12
마르스 이와이 트레디션 750ml,혼보 주조 (Hombo Shuzo · Mars Whisky) · 일본 가고시마,일본,40%,엑스-버번·셰리·와인 캐스크 숙성 · 매시빌 맥아 75%+옥수수 25% · 일부 피티드 몰트 · NAS,"꿀맥아·자두·붉은 건포도·바나나·오렌지필 향에 시나몬·바닐라·토피·황설탕. 차드 아메리칸 오크에 복숭아 캔디·보리, 오렌지·바닐라 커스터드, 복숭아 껍질·시트러스의 피니시.","마르스 이와이 트레디션은 혼보 주조 마르스 위스키의 몰트 중심 블렌디드(맥아 75%·옥수수 25%, 일부 피트)로, 마르스 위스키의 토대를 닦은 이와이 키이치로를 기린 NAS 표현. 가성비 일본 위스키의 대표격.",The Japanese Bar · The Whiskey Jug · Distiller (2026-06-12 리서치),2026-06-12
아마하간 World Malt Editon No.1 700ml,나가하마 증류소 (Nagahama Distillery) · 일본 시가현,일본,47% (논칠필터·무착색),수입 몰트와 자가 증류 몰트의 블렌디드 몰트 · 화이트 오크,"밀크초콜릿·오렌지·바닐라·구운 견과 향에 사과·꿀·맥아·정향 박은 오렌지·오크 바닐라. 시트러스 산미와 레몬페퍼·구운 파인애플·꿀, 크리미한 바나나케이크의 미디엄롱 피니시. 스모크가 적고 과일감이 강함.","아마하간은 시가현 나가하마 증류소의 블렌디드 몰트 시리즈로, 자가 증류 몰트에 수입 몰트를 블렌딩해 논칠필터·무착색으로 병입한다. World Malt Edition No.1은 입문자도 즐기기 좋은 과일 중심의 코어 표현. (라벨 표기 'Editon'은 수집 스냅샷 제품명 그대로)",WhiskyCast · The Whisky Exchange · Uisuki (2026-06-12 리서치),2026-06-12
카미키 사쿠라 500ml,카미키 (Kamiki · 나라) 블렌디드 몰트,일본 나라,48%,오크 숙성 후 일본 삼나무(시더) 캐스크 → 사쿠라(벚나무) 캐스크 마무리 (오크·시더·사쿠라 트리플 캐스크),"벚꽃·시더 스파이스·꿀·백단·은은한 과수원 과일 향. 실키한 입안에 꽃향 단맛·바닐라 크림·토스티드 시더·자두·섬세한 베이킹 스파이스, 길고 우아한 벚꽃·우디 스파이스·따뜻한 단맛의 피니시.","카미키는 나라(일본 '신들의 도시')의 블렌디드 몰트로, 일본 몰트와 해외 몰트를 블렌딩한다. 사쿠라는 세계 최초로 벚나무 캐스크에 마무리한 표현으로 오크·삼나무·벚나무 트리플 캐스크가 특징(48%). 2022 Sunset International Best Whisky 등 수상.",공식 kamikiwhisky.com · Master of Malt · dekantā (2026-06-12 리서치),2026-06-12
더 아일라 보이즈 베어렉스 배틀 엑스 아일라 700ml,디 아일라 보이즈 (The Islay Boys) · 독립병입 (아일라 미공개 증류소),아일라 (Islay),46% (논칠필터),피티드 아일라 싱글몰트 (Bårelegs '베어렉스' 라인) · 캐스크 비공개,"스모키 베이컨·바비큐·해초·타르·소금 향(꿀·라임 제스트·바닐라도). 오일리하고 쫄깃한 입안에 단 피트·숲꿀·라임 제스트·자몽·토피·호밀빵, 석탄불 소금·스모크·버터 바른 탄 토스트의 피니시. 전형적 아일라의 균형 잡힌 피트+요오드.",디 아일라 보이즈는 아일라 현지인 둘이 세운 독립병입사로 'Bårelegs(베어렉스)' 아일라 싱글몰트·'Flatnöse' 블렌디드 라인을 낸다. 베어렉스는 46%·논칠필터 피티드 아일라 싱글몰트. (표기 '배틀 엑스' 특정 배치/에디션 단독 문서는 미확인 — Bårelegs 아일라 싱글몰트 코어 기준 기술),islayboys.com · Whiskybase · Royal Mile Whiskies (2026-06-12 리서치),2026-06-12
브룩라디 Sherry Cask_700ml,브룩라디 (Bruichladdich) · 아일라,아일라 (Islay),50% (논칠필터·무착색),비피트 클래식 라디를 헤레스 페르난도 데 카스티야 올로로소 셰리 캐스크에 추가 숙성 · GTR 면세 전용,"은은한 꽃향에 사과·살구의 가벼운 과일, 너티함·시트러스·꿀·바닐라·미네랄. 셰리가 더한 말린 과일·대추·오렌지필·흑설탕 구운 바나나에 살구·배·맥아당·바닐라 커스터드, 셰리 단맛·크리미 오크·옅은 스파이스의 길고 따뜻한 피니시.",브룩라디 'The Classic Laddie Sherry Cask Edition'은 시그니처 비피트 클래식 라디를 헤레스 페르난도 데 카스티야 올로로소 셰리 캐스크에 추가 숙성한 면세(GTR) 전용판으로 2024년 5월 싱가포르 창이에서 첫 공개. 50%·논칠필터·무착색.,공식 bruichladdich.com · Whisky For Everyone · Whisky Globetrotters (2026-06-12 리서치),2026-06-12
글렌피딕 15년 Vat3 Perpetual 700ml,글렌피딕 (Glenfiddich) · 스페이사이드,스페이사이드,50.2% (논칠필터),아메리칸 오크·버진 아메리칸 오크 + 유러피언 셰리 캐스크 15년+ · 솔레라식 '영구 숙성(perpetual)' 배트(절반만 병입 후 보충) · 면세(GTR) 전용,"골든·레디시 빛. 히더 꿀·바닐라 퍼지에 진한 다크프루트의 복합적인 향. 실키하고 풀바디한 입안에 셰리 오크·마지팬·시나몬·생강이 겹겹이, 풍부하고 달콤한 여운의 피니시.","글렌피딕(1886년 윌리엄 그랜트 설립)의 Perpetual Collection은 면세(GTR) 전용 라인으로, 솔레라처럼 배트를 완전히 비우지 않고 절반만 병입한 뒤 어린 원액으로 채워 '영구 숙성'을 잇는다. VAT 03은 15년 이상 숙성·50.2%로 18년 VAT 04와 함께 면세 매대를 채운다.",공식 glenfiddich.com · Drinkhacker · whisky.com (2026-06-09/2026-06-12 리서치),2026-06-12
